cy_codigo,cy_conyuge_cobis,cy_ente_conyuge,cy_nombre_completo,cy_fecha_nacimiento,cy_tipo_identificacion,cy_identificacion,cy_fecha_registro,cy_usuario_registro,cy_fecha_modificacion,cy_usuario_modificacion,cy_p_nombre,cy_s_nombre,cy_p_apellido,cy_s_apellido,cy_gestion_gic
1,79629359,77553088,NOMBRE COMPLETO DEL CONYUGE79629359,01/01/88 12:00 AM,1,ID0079629359,06/08/19 12:00 AM,ni965201,,,,,,,
2,78871989,0,NOMBRE COMPLETO DEL CONYUGE78871989,01/01/88 12:00 AM,1,ID0078871989,06/08/19 12:00 AM,jq42194,,,,,,,
3,79543535,78260386,NOMBRE COMPLETO DEL CONYUGE79543535,01/01/88 12:00 AM,1,ID0079543535,06/08/19 12:00 AM,ah53081,,,,,,,
4,80305672,17493361,NOMBRE COMPLETO DEL CONYUGE80305672,01/01/88 12:00 AM, ,ID0080305672,06/09/19 12:00 AM,ef97597,,,,,,,
5,79371149,77065105,NOMBRE COMPLETO DEL CONYUGE79371149,01/01/88 12:00 AM, ,ID0079371149,06/09/19 12:00 AM,yt72574,,,,,,,
6,81696659,77483934,NOMBRE COMPLETO DEL CONYUGE81696659,01/01/88 12:00 AM,1,ID0081696659,06/09/19 12:00 AM,sc06763,11/22/24 12:00 AM,ni33454,,,,,
7,81727481,76914338,NOMBRE COMPLETO DEL CONYUGE81727481,01/01/88 12:00 AM,1,ID0081727481,06/10/19 12:00 AM,ez92106,05/17/23 12:00 AM,usrnetbank,,,,,
8,78631406,1041334,NOMBRE COMPLETO DEL CONYUGE78631406,01/01/88 12:00 AM, ,ID0078631406,06/10/19 12:00 AM,nc46148,,,,,,,
11,80664176,1669266,NOMBRE COMPLETO DEL CONYUGE80664176,01/01/88 12:00 AM, ,ID0080664176,06/10/19 12:00 AM,mo32383,,,,,,,
12,79770132,0,NOMBRE COMPLETO DEL CONYUGE79770132,01/01/88 12:00 AM,1,ID0079770132,06/10/19 12:00 AM,ez92106,06/14/21 12:00 AM,ni934767,,,,,
13,79347817,76824959,NOMBRE COMPLETO DEL CONYUGE79347817,01/01/88 12:00 AM, ,ID0079347817,06/10/19 12:00 AM,ni927499,,,,,,,
15,82625674,17516248,NOMBRE COMPLETO DEL CONYUGE82625674,01/01/88 12:00 AM, ,ID0082625674,06/10/19 12:00 AM,jq42194,,,,,,,
16,79119148,0,NOMBRE COMPLETO DEL CONYUGE79119148,01/01/88 12:00 AM,1,ID0079119148,06/10/19 12:00 AM,es62052,06/10/19 12:00 AM,es62052,,,,,
17,79877069,0,NOMBRE COMPLETO DEL CONYUGE79877069,01/01/88 12:00 AM,1,ID0079877069,06/10/19 12:00 AM,ni722797,,,,,,,
18,79402320,0,NOMBRE COMPLETO DEL CONYUGE79402320,01/01/88 12:00 AM,1,ID0079402320,06/10/19 12:00 AM,kc05098,,,,,,,
20,80218338,76975566,NOMBRE COMPLETO DEL CONYUGE80218338,01/01/88 12:00 AM,1,ID0080218338,06/10/19 12:00 AM,ah53081,,,,,,,
21,82252630,828509,NOMBRE COMPLETO DEL CONYUGE82252630,01/01/88 12:00 AM, ,ID0082252630,06/11/19 12:00 AM,jr58239,,,,,,,
