en_ente;en_nombre;en_subtipo;en_filial;en_oficina;en_ced_ruc;en_fecha_crea;en_fecha_mod;en_imagen;en_direccion;en_referencia;en_casilla;en_casilla_def;en_tipo_dp;en_balance;en_grupo;en_pais;en_oficial;en_actividad;en_retencion;en_mala_referencia;en_comentario;en_cont_malas;en_nomlar;en_patrimonio_tec;en_vinculacion;en_tipo_vinculacion;c_posicion;c_tipo_compania;c_rep_legal;c_activo;c_pasivo;c_es_grupo;c_capital_social;c_reserva_legal;c_fecha_const;c_nombre_completo;c_plazo;c_estatutos;c_direccion_domicilio;c_fecha_inscrp;c_objeto_social;c_fecha_aum_capital;c_rep_jud;c_rep_ex_jud;c_notaria;c_capital_inicial;c_num_acciones;c_cap_pagado;p_c_apellido;p_nit;p_carne_electoral;p_licencia;en_reg_fiscal;en_giro;p_dir;p_din;en_calificacion;c_tamano;s_tipo_soc_hecho;p_p_apellido;p_s_apellido;p_sexo;p_fecha_nac;p_profesion;p_pasaporte;p_estado_civil;p_num_cargas;p_nivel_ing;p_nivel_egr;p_tipo_persona;p_personal;p_propiedad;p_trabajo;p_soc_hecho;p_fecha_ingreso;p_fecha_expira;en_categoria;en_serv_adic;en_comen_adic;en_nombre_largo;en_usuario_crea;en_usuario_mod;en_oficina_mod;en_paga_iva;p_fecha_emision_cedula;p_fecha_expiracion_cedula;p_dependientes;p_oficio;en_domiciliado;c_folio;c_libro;p_carnet_res;p_carnet_min;p_partida_nac;p_fecha_emision_dui;p_fecha_vencimiento_dui;en_banca;p_emp_banc;p_representado;en_coment_act;en_fecha_act;en_nombre2;en_pais_nac;en_rango_ingresos;en_nombre1;en_tipo_segmento;en_segmento_negocio;en_afiliate_code;en_std_industry_code;en_glb_finance_cid;en_pais_residencia;en_base_number;en_ciudad_nac;en_perfil;;;;;;;;;
78525509;NOMBRE_78525509;P;1;122;IDENTIFCR_7852550;Sep 30 2024 12;12:00:00 AM;Sep 30 2024 12;12:00:00 AM;;2;;;;;;;1;1;1900;S;N;COMENTARIO_78525509;0;NOMLAR_78525509;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525509;;;;105;;IDENTIFD_78525509;N;;;APELLIDOP_7852550;APELLIDOS_78525509;M;Dec 1 1996 12;12:00:00 AM;0;;S;;;;PA;;;;;;;A;;;NOMBRELAR_78525509;sa;;;S;;;;;;;;;;;;;OTR;;;;;NOMBRE2_78525509;;;NOMBRE1_78525509;92;9299;;;0;1;0;;N;;;;;;
78525517;MARLOON ALBERTOO;P;1;122;IDENTIFCR_78525517;Sep 30 2024 12;12:00:00 AM;Aug 22 2025  4;41PM;;2;;;;;;;1;1;1900;S;N;COMENTARIO_78525517;0;RUIIZ SOLIIZ MARLOON ALBERTOO;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525517;;;0;105;;IDENTIFD_78525517;N;;;RUIIZ;SOLIIZ;F;Aug 2 1980 12;12:00:00 AM;0;;S;;;;PA;;;;;;;A;;;MARLOON ALBERTOO RUIIZ SOLIIZ;sa;ni934628;132;S;;;1;;S;;;;;;;;OTR;;;;Aug 18 2025  9;17AM;ALBERTOO;3;C;MARLOON;92;9299;;;0;1;0;1003;N;;;;;
78525525;NOMBRE_78525525;P;1;122;IDENTIFCR_78525525;Sep 30 2024 12;12:00:00 AM;Oct 8 2024  9;24AM;;2;;;;;;;1;1;1000;S;N;COMENTARIO_78525525;0;NOMLAR_78525525;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525525;;;0;54;;IDENTIFD_78525525;N;B&P;;APELLIDOP_78525525;APELLIDOS_78525525;F;Oct 27 2000 12;12:00:00 AM;101;;S;;;;PA;1;;1;;;;A;;CLIENTE ACTUALIZADO;NOMBRELAR_78525525;sa;ni935232;202;S;;;0;;S;;;;;;;;OTR;;;;Oct 8 2024  9;15AM;NOMBRE2_78525525;1;C;NOMBRE1_78525525;92;9299;;;0;1;0;304;N;;;;;
78525533;NOMBRE_78525533;P;1;122;IDENTIFCR_78525533;Sep 30 2024 12;12:00:00 AM;Sep 30 2024 12;12:00:00 AM;;2;;;;;;;1;1;1900;S;N;COMENTARIO_78525533;0;NOMLAR_78525533;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525533;;;;105;;IDENTIFD_78525533;N;;;APELLIDOP_78525533;APELLIDOS_78525533;F;Jul 27 1970 12;12:00:00 AM;0;;S;;;;PA;;;;;;;A;;;NOMBRELAR_78525533;sa;;;S;;;;;;;;;;;;;OTR;;;;;NOMBRE2_78525533;;;NOMBRE1_78525533;92;9299;;;0;1;0;;N;;;;;;
78525541;NOMBRE_78525541;P;1;122;IDENTIFCR_78525541;Sep 30 2024 12;12:00:00 AM;Sep 30 2024 12;12:00:00 AM;;2;;;;;;;1;1;1900;S;N;COMENTARIO_78525541;0;NOMLAR_78525541;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525541;;;;105;;IDENTIFD_78525541;N;;;APELLIDOP_78525541;APELLIDOS_78525541;F;Mar 9 1996 12;12:00:00 AM;0;;C;;;;PA;;;;;;;A;;;NOMBRELAR_78525541;sa;;;S;;;;;;;;;;;;;OTR;;;;;NOMBRE2_78525541;;;NOMBRE1_78525541;92;9299;;;0;1;0;;N;;;;;;
78525550;NOMBRE_78525550;P;1;186;IDENTIFCR_78525550;Oct 1 2024 12;12:00:00 AM;Oct 1 2024 12;12:00:00 AM;;1;0;0;;;0;;1;0;1000;S;N;COMENTARIO_78525550;0;NOMLAR_78525550;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525550;;;;;;IDENTIFD_78525550;;;;APELLIDOP_78525550;APELLIDOS_78525550;F;Jan 2 1980 12;12:00:00 AM;101;;C;;;;PA;0;0;0;0;;;A;;;NOMBRELAR_78525550;ni934845;;;S;;;;;S;;;;;;Dec 11 2020 12;12:00:00 AM;Dec 11 2030 12;12:00:00 AM;;;; ;;NOMBRE2_78525550;;;NOMBRE1_78525550;92;9299;;;0;1;0;;N;;;;
78525568;NOMBRE_78525568;P;1;242;IDENTIFCR_78525568;Oct 1 2024 12;12:00:00 AM;Nov 5 2024  4;37PM;;2;0;0;;;0;;1;84;1600;S;N;COMENTARIO_78525568;;NOMLAR_78525568;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525568;;;0;126;;IDENTIFD_78525568;N;PYME;;APELLIDOP_78525568;APELLIDOS_78525568;F;Jun 28 2001 12;12:00:00 AM;1000;;C;;;;PA;1;0;1;1;;;A;;CLIENTE CONFIRMADO;NOMBRELAR_78525568;ni32514;ni31499;132;S;;;1;;S;;;;;;;;OTR;;N/A;;Oct 11 2024 10;12:00:00 AM;NOMBRE2_78525568;1;H;NOMBRE1_78525568;92;9237;;;0;1;0;1602;N;;;;;
78525576;NOMBRE_78525576;P;1;230;IDENTIFCR_78525576;Oct 1 2024 12;12:00:00 AM;Oct 9 2024  7;49AM;;2;0;0;;;0;;1;0;1400;S;N;COMENTARIO_78525576;;NOMLAR_78525576;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525576;;;0;104;;IDENTIFD_78525576;N;B&P;;APELLIDOP_78525576;APELLIDOS_78525576;F;Dec 6 2001 12;12:00:00 AM;1400;;S;;;;PA;1;0;1;;;;A;;CLIENTE NUEVO.;NOMBRELAR_78525576;ni32655;ni31499;132;S;;;0;;S;;;;;;;;OTR;;;;Oct 9 2024  7;49AM;NOMBRE2_78525576;1;B;NOMBRE1_78525576;92;9299;;;0;1;0;1301;N;;;;;
78525584;NOMBRE_78525584;P;1;122;IDENTIFCR_78525584;Oct 1 2024 12;12:00:00 AM;Oct 1 2024 12;12:00:00 AM;;2;;;;;;;1;1;1900;S;N;COMENTARIO_78525584;0;NOMLAR_78525584;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525584;;;;105;;IDENTIFD_78525584;N;;;APELLIDOP_78525584;APELLIDOS_78525584;F;Feb 19 2008 12;12:00:00 AM;0;;S;;;;PA;;;;;;;A;;;NOMBRELAR_78525584;sa;;;S;;;;;;;;;;;;;OTR;;;;;NOMBRE2_78525584;;;NOMBRE1_78525584;92;9299;;;0;1;0;;N;;;;;;
78525592;NOMBRE_78525592;P;1;122;IDENTIFCR_78525592;Oct 1 2024 12;12:00:00 AM;Dec 11 2024 11;04:00:00 AM;;2;;;;;;;1;1;1000;S;N;COMENTARIO_78525592;0;NOMLAR_78525592;;;;;4;;;;;;;;;;;;;;;;;;;;;;IDENTIFN_78525592;;;;105;;IDENTIFD_78525592;N;;;APELLIDOP_78525592;APELLIDOS_78525592;F;Dec 30 1995 12;12:00:00 AM;197;;S;;;;PA;2;;1;;;;A;;;NOMBRELAR_78525592;sa;;;S;Jan 14 2016 12;12:00:00 AM;Jan 14 2026 12;12:00:00 AM;;;;;;;;;;;OTR;;;;;NOMBRE2_78525592;1;C;NOMBRE1_78525592;92;9299;;;0;1;0;209;N;;;;
